deltaVLTM_mps,deltaVLCM_mps,totalDV_mps,R_LCM_km,V_LCM_kmps,R_30d_km,V_30d_kmps
1102.41257849721,19.9371580800916,1122.3497365773,21372.2286675741,0.012830566597294,0.295834355678981,0.00860689222233109
1105.51069760736,23.4873781349343,1128.99807574229,24054.8982960036,0.0149991986275659,0.339147242128663,0.00966247600355409
1099.71037841691,20.0735068164352,1119.78388523334,21790.0889732448,0.012592048376789,0.291631459027476,0.00876075920731782
1101.91141448881,22.3078575239823,1124.21927201279,23486.3708263934,0.0140216963166142,0.333272793575679,0.0094385897076731
1098.52651165191,13.2294992022863,1111.7560108542,17868.5285780573,0.00712880088308112,0.193260510778236,0.00718203216292542
1094.89384908513,11.7301662970497,1106.62401538218,13178.662649272,0.00938737159606768,0.114454198657632,0.00530632176165646
1102.51748622349,24.7490032418879,1127.26648946538,24093.7700744333,0.0166526721276714,0.376902518985014,0.00970448265712402
1103.49737215005,18.3218132840807,1121.81918543413,20188.3556874187,0.011610746424412,0.23683748293984,0.00810908692242532
1095.55216696982,20.0812287899924,1115.63339575981,21198.6741653615,0.0129376434182376,0.265400158685459,0.00849349559024917
1096.97878212923,5.97802138685984,1102.95680351609,13083.4865221528,0.0029809121476991,0.0984998834679177,0.00525143924160418
1095.78054323197,9.85857165688601,1105.63911488885,14974.7319488407,0.00582086355383894,0.139115056028622,0.00602352450384362
1099.32315181431,11.4532270493416,1110.77637886366,16911.9180901583,0.00556505231656417,0.168007295509753,0.00679229412758151
1103.81487083863,22.6947216205148,1126.50959245914,23734.9391350091,0.0143718003876847,0.347827246423387,0.00954918843574715
1096.17856443481,12.3500772334392,1108.52864166825,16773.2349795781,0.0065048551933668,0.147633366706497,0.00666092705511572
1093.96173307737,16.5160280938452,1110.47776117121,17623.7602668719,0.011509868992993,0.196804302496633,0.00708956824014394
1097.02247741412,8.33489336586025,1105.35737077998,15065.0107745534,0.00312291708200766,0.133106683553801,0.00604755706119034
1098.68935310063,16.802883662634,1115.49223676326,20180.271616523,0.00955160472877532,0.233601035719826,0.0080851254582994
1103.06915621733,17.5709335968613,1120.64008981419,19064.3407449358,0.0115866903471025,0.211280560051801,0.00765891385749437
1095.93488352417,9.32444442051224,1105.25932794468,15624.3408501441,0.0036261424146869,0.13519852662266,0.00624486053740611
1093.29112678889,4.71330945655592,1098.00443624545,12448.5553688159,0.0017807954346178,0.0827191890290389,0.00495236059983502
1099.08580211703,13.2827501663492,1112.36855228338,18061.0080525035,0.00694415302936914,0.194325177395576,0.00725544087775998
1093.77069208377,14.1835989646917,1107.95429104847,17988.2686003169,0.0076757531872658,0.172096365426324,0.00712505017948358
1097.139809085,22.918828262737,1120.05863734774,23527.2089600323,0.0141441465231562,0.294315727010867,0.0093350398276752
1104.22123480007,17.9033017065525,1122.12453650662,20328.3430927184,0.0110529230911844,0.249754899782875,0.0081764091684268
1105.75881623882,32.9430880990749,1138.7019043379,29672.0583477462,0.0225870046980833,0.556345967221239,0.0119441433837738
1093.84503748573,9.77079395459391,1103.61583144033,15445.0806817355,0.0043132758130941,0.126406737179259,0.00612603254708882
1103.48670048064,18.6822452505526,1122.1689457312,21283.9766771563,0.0112516091099104,0.276992374443636,0.00856211066546588
1103.13099530368,20.5581403195557,1123.68913562324,21023.931105819,0.0137815139496958,0.290507496103822,0.00845652672066043
1097.45111317263,12.957746450259,1110.40885962288,16486.2788676897,0.00826235623714366,0.175150223432712,0.00663998562082861
1096.17630181879,15.7282637755331,1111.90456559433,18945.0267936277,0.00935981837216289,0.211480345036126,0.00759540008636113
1104.15366976,22.7017370544052,1126.8554068144,23300.4377456366,0.0147632067116236,0.349636777226634,0.00938294631952044
1095.46890335166,16.7938319311233,1112.26273528278,19428.9953957385,0.0102599799531943,0.220012398292609,0.00778033949345877
1105.64513291604,19.5001701791568,1125.1453030952,20144.067500899,0.0130683763143098,0.26384196331701,0.00807603148252438
1101.98939991611,23.0853577295941,1125.07475764571,23499.0948831502,0.0150633211094306,0.350275063298636,0.00946059244027621
1090.73251296945,10.0230100383111,1100.75552300776,13966.1593675753,0.00676546536317267,0.107535957101036,0.0055525553823671
1104.40105556351,16.1649150767936,1120.56597064031,18571.6819193184,0.0103866784411058,0.214868691134221,0.00747361755850254
1097.44428391244,19.4212178888306,1116.86550180127,21507.944224613,0.011425190311466,0.24628609463394,0.00854872420679562
