Time (s),Station ID,Range (km),Range Rate (km/s)
524360,1,58949803.06,1.896995403
524370,1,58949822.03,1.897088089
524380,1,58949841,1.897181124
524390,1,58949859.97,1.897274071
524400,1,58949878.95,1.897367332
524410,1,58949897.92,1.897460672
524420,1,58949916.9,1.897554153
524430,1,58949935.87,1.89764801
524440,1,58949954.85,1.897742126
524450,1,58949973.83,1.897836207
524460,1,58949992.81,1.897930496
524470,1,58950011.79,1.898025002
524480,1,58950030.77,1.898119802
524490,1,58950049.75,1.898214678
524500,1,58950068.73,1.898309716
524510,1,58950087.72,1.898404984
524520,1,58950106.7,1.898500387
524530,1,58950125.69,1.898596218
524540,1,58950144.67,1.898692075
524550,1,58950163.66,1.898788187
524560,1,58950182.65,1.898884113
524570,1,58950201.64,1.898980547
524580,1,58950220.63,1.899077101
524590,1,58950239.62,1.899173772
524600,1,58950258.61,1.899270843
524610,1,58950277.6,1.899368085
524620,1,58950296.6,1.899465351
524630,1,58950315.59,1.899562783
524640,1,58950334.59,1.899660464
524650,1,58950353.59,1.899758452
524660,1,58950372.59,1.899856465
524670,1,58950391.59,1.899954708
524680,1,58950410.58,1.90005321
524690,1,58950429.58,1.900151522
524700,1,58950448.59,1.900250505
524710,1,58950467.59,1.90034944
524720,1,58950486.6,1.900448639
524730,1,58950505.6,1.900548159
524740,1,58950524.61,1.900647341
524750,1,58950543.61,1.900747194
524760,1,58950562.62,1.90084719
524770,1,58950581.63,1.90094724
524780,1,58950600.64,1.901047597
524790,1,58950619.65,1.901148057
524800,1,58950638.66,1.9012486
524810,1,58950657.68,1.901349526
524820,1,58950676.69,1.901450407
524830,1,58950695.7,1.901551468
524840,1,58950714.72,1.901653187
524850,1,58950733.74,1.901754584
524860,1,58950752.76,1.901856396
524870,1,58950771.77,1.901958291
524880,1,58950790.8,1.90206023
524890,1,58950809.82,1.90216258
524900,1,58950828.84,1.902265151
524910,1,58950847.86,1.902367537
524920,1,58950866.89,1.902470708
524930,1,58950885.91,1.902573723
524940,1,58950904.94,1.902676864
524950,1,58950923.96,1.902780189
524960,1,58950942.99,1.902883893
524970,1,58950962.02,1.902987578
524980,1,58950981.05,1.903091433
524990,1,58951000.08,1.903195567
525000,1,58951019.12,1.903299894
525010,1,58951038.15,1.903404517
525020,1,58951057.18,1.903509009
525030,1,58951076.22,1.903614067
525040,1,58951095.26,1.903719013
525050,1,58951114.29,1.903824349
525060,1,58951133.33,1.903929611
525070,1,58951152.37,1.904035231
525080,1,58951171.41,1.904141025
525090,1,58951190.46,1.904246988
525100,1,58951209.5,1.904353237
525110,1,58951228.54,1.904459574
525120,1,58951247.59,1.904565907
525130,1,58951266.63,1.904672555
